,color,shape,material
0,"(0.368, 0.19, 54.8)","(0.483, 0.123, 83.0)","(0.359, 0.143, 51.6)"
1,"(0.399, 0.153, 60.3)","(0.493, 0.116, 87.0)","(0.385, 0.128, 65.1)"
2,"(0.41, 0.152, 66.3)","(0.492, 0.145, 90.0)","(0.381, 0.128, 64.1)"
3,"(0.479, 0.212, 42.3)","(0.659, 0.169, 59.5)","(0.538, 0.162, 51.3)"
4,"(0.512, 0.199, 50.6)","(0.652, 0.174, 64.9)","(0.562, 0.13, 53.9)"
5,"(0.505, 0.211, 55.4)","(0.646, 0.189, 67.6)","(0.562, 0.143, 59.2)"
6,"(0.565, 0.195, 46.1)","(1.0, 0.0, 100.0)","(0.587, 0.152, 35.7)"
7,"(0.625, 0.189, 58.4)","(1.0, 0.0, 100.0)","(0.604, 0.171, 35.7)"
8,"(0.603, 0.182, 55.8)","(1.0, 0.0, 100.0)","(0.635, 0.205, 21.4)"
